"filename", "language", "C++", "GLSL", "comment", "blank", "total"
"d:\DEV\projects\Project_1\src\camera.hpp", "C++", 9, 0, 0, 1, 10
"d:\DEV\projects\Project_1\src\gizmos.cpp", "C++", 13, 0, 0, 1, 14
"d:\DEV\projects\Project_1\src\gizmos.hpp", "C++", 4, 0, 0, 3, 7
"d:\DEV\projects\Project_1\src\globals.hpp", "C++", 10, 0, 0, 1, 11
"d:\DEV\projects\Project_1\src\init.cpp", "C++", 57, 0, 0, 9, 66
"d:\DEV\projects\Project_1\src\init.hpp", "C++", 7, 0, 0, 1, 8
"d:\DEV\projects\Project_1\src\input.cpp", "C++", 67, 0, 1, 13, 81
"d:\DEV\projects\Project_1\src\input.hpp", "C++", 11, 0, 0, 2, 13
"d:\DEV\projects\Project_1\src\main.cpp", "C++", 31, 0, 0, 12, 43
"d:\DEV\projects\Project_1\src\math.hpp", "C++", 87, 0, 7, 10, 104
"d:\DEV\projects\Project_1\src\mesh.cpp", "C++", 267, 0, 11, 45, 323
"d:\DEV\projects\Project_1\src\mesh.hpp", "C++", 23, 0, 0, 5, 28
"d:\DEV\projects\Project_1\src\planet.cpp", "C++", 43, 0, 0, 6, 49
"d:\DEV\projects\Project_1\src\planet.hpp", "C++", 19, 0, 0, 2, 21
"d:\DEV\projects\Project_1\src\shader.cpp", "C++", 63, 0, 0, 11, 74
"d:\DEV\projects\Project_1\src\shader.hpp", "C++", 11, 0, 1, 2, 14
"d:\DEV\projects\Project_1\src\shaders\shader.frag", "GLSL", 0, 24, 0, 6, 30
"d:\DEV\projects\Project_1\src\shaders\shader.vert", "GLSL", 0, 14, 0, 3, 17
"d:\DEV\projects\Project_1\src\start.hpp", "C++", 38, 0, 3, 11, 52
"d:\DEV\projects\Project_1\src\update.hpp", "C++", 125, 0, 2, 17, 144
"Total", "-", 885, 38, 25, 161, 1109
