"filename", "language", "Ini", "Makefile", "C++", "GLSL", "C", "comment", "blank", "total"
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x2.inl", "C++", 0, 0, 509, 0, 0, 9, 57, 575
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x3.hpp", "C++", 0, 0, 119, 0, 0, 11, 42, 172
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x3.inl", "C++", 0, 0, 533, 0, 0, 9, 57, 599
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x4.hpp", "C++", 0, 0, 132, 0, 0, 11, 47, 190
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x4.inl", "C++", 0, 0, 598, 0, 0, 36, 73, 707
"d:\DEV\projects\Project_1\include\glm\detail\type_mat4x4_simd.inl", "C++", 0, 0, 3, 0, 0, 1, 3, 7
"d:\DEV\projects\Project_1\include\glm\detail\type_quat.hpp", "C++", 0, 0, 121, 0, 0, 22, 44, 187
"d:\DEV\projects\Project_1\include\glm\detail\type_quat.inl", "C++", 0, 0, 321, 0, 0, 29, 59, 409
"d:\DEV\projects\Project_1\include\glm\detail\type_quat_simd.inl", "C++", 0, 0, 117, 0, 0, 55, 17, 189
"d:\DEV\projects\Project_1\include\glm\detail\type_vec1.hpp", "C++", 0, 0, 194, 0, 0, 47, 68, 309
"d:\DEV\projects\Project_1\include\glm\detail\type_vec1.inl", "C++", 0, 0, 453, 0, 0, 13, 86, 552
"d:\DEV\projects\Project_1\include\glm\detail\type_vec2.hpp", "C++", 0, 0, 285, 0, 0, 21, 94, 400
"d:\DEV\projects\Project_1\include\glm\detail\type_vec2.inl", "C++", 0, 0, 779, 0, 0, 13, 122, 914
"d:\DEV\projects\Project_1\include\glm\detail\type_vec3.hpp", "C++", 0, 0, 313, 0, 0, 24, 96, 433
"d:\DEV\projects\Project_1\include\glm\detail\type_vec3.inl", "C++", 0, 0, 927, 0, 0, 13, 129, 1069
"d:\DEV\projects\Project_1\include\glm\detail\type_vec4.hpp", "C++", 0, 0, 369, 0, 0, 36, 101, 506
"d:\DEV\projects\Project_1\include\glm\detail\type_vec4.inl", "C++", 0, 0, 966, 0, 0, 13, 162, 1141
"d:\DEV\projects\Project_1\include\glm\detail\type_vec4_simd.inl", "C++", 0, 0, 681, 0, 0, 2, 93, 776
"d:\DEV\projects\Project_1\include\glm\exponential.hpp", "C++", 0, 0, 24, 0, 0, 74, 13, 111
"d:\DEV\projects\Project_1\include\glm\ext.hpp", "C++", 0, 0, 227, 0, 0, 3, 24, 254
"d:\DEV\projects\Project_1\include\glm\ext\matrix_clip_space.hpp", "C++", 0, 0, 137, 0, 0, 336, 50, 523
"d:\DEV\projects\Project_1\include\glm\ext\matrix_clip_space.inl", "C++", 0, 0, 492, 0, 0, 1, 63, 556
"d:\DEV\projects\Project_1\include\glm\ext\matrix_common.hpp", "C++", 0, 0, 14, 0, 0, 14, 9, 37
"d:\DEV\projects\Project_1\include\glm\ext\matrix_common.inl", "C++", 0, 0, 14, 0, 0, 0, 3, 17
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x2.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x2_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double2x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x3.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x3_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x4.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double3x4_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x2.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x2_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x3.hpp", "C++", 0, 0, 6, 0, 0, 8, 5, 19
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x3_precision.hpp", "C++", 0, 0, 8, 0, 0, 17, 7, 32
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x4.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_double4x4_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x2.hpp", "C++", 0, 0, 7, 0, 0, 11, 6, 24
"d:\DEV\projects\Project_1\include\glm\ext\matrix_float2x2_precision.hpp", "C++", 0, 0, 11, 0, 0, 29, 10, 50
